input,output
what is ai,"The study of how to make computers do things at which, at the moment, people are better. (Rich and Knight, 1991)"
ai kya he,ai ek computer field he jo computer ko human jesa intelligent banati
what is html,"HTML (Hypertext Markup Language) uses a markup system composed of elements which represent specific content. Markup means that with HTML you declare what is presented to a viewer, not how it is presented. Visual representations are defined by Cascading Style Sheets (CSS) and realized by browsers. Still existing elements that allow for such, like e.g. font. HTML is sometimes called a programming language but it has no logic, so is a markup language. HTML tags provide semantic meaning and machine-readability to the content in the page."
what is windows,windows is an operating system by microsoft
What Is Data Mining?,The task of a learning machine to extract knowledge from training data.
what is android,it is a mobile operating system
android,it is a mobile operating system
what is windows,it is an operating system
what is windows 10,it is an operating system developed by microsoft
what is windows 11,it is an operating system developed by microsoft
what is anime,it is reffered to animated movies & series made in japan
