input,output
html full form,Hyper Text Markup Language
php full form,Hypertext Preprocessor
CAD full form,Computer Aided Design
HTTP full form,Hyper Text Transfer Protocol
LED full form,Light Emitting Diode
CRT full form,Cathode Ray Tube
LCD full form,Liquid Crystal Display
IIT full form,Indian Institute of Technology
NIT full form,National Institute of Technology
ASP full form,Active Server Pages
AI full form,Artificial intelligense
ML full form,Machine Learning
WWW full form,World Wide Web
RAM full form,Randam Access Memory
ROM full form,Read Only Memory
CPU full from,Central Processing Unit
OBC full form,Other Backward Caste
CSS full form,Cascaded style sheet
CSV full form,Comma Separated Value
COD full form,"1.Cash on Delivary\n2.Call of Duty"
PUBG full form,Player Unknown Bettleground
AC full form,Air Conditioner
KDRAMA full form,Korean Drama
CDRAMA full form,Chinese Drama
